region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.25,0.0,9,10,4.04354036348503,1.9690392754484674,4.527660661241253,154.6299878396528
ERCOT,0.25,0.25,9,10,3.6427019611360043,2.4736434130826344,4.439285946768682,137.92006631472336
ERCOT,0.25,0.5,9,10,4.1170979840859205,3.749826791798678,5.66300114646218,131.3223843214415
ERCOT,0.5,0.0,9,10,4.068115818862114,1.9900610595465413,4.565337864390565,154.31967487559015
ERCOT,0.5,0.25,9,10,4.372210576047954,2.8929308852087683,5.275750839032547,136.26453127933854
ERCOT,0.5,0.5,9,10,5.495570318161936,4.566919206578951,7.234778015014431,128.31833204508666
ERCOT,0.0,0.0,10,10,4.179681774925391,0.9931975442613801,4.309144607062212,172.77929036854894
ERCOT,0.0,0.25,10,10,4.735105887873505,1.3049188453006055,4.938655533993933,167.26005744910387
ERCOT,0.0,0.5,10,10,5.492499376889932,1.243756216958038,5.652481624239062,163.71303440650894
ERCOT,0.25,0.0,10,10,4.051062388502021,2.036475529393961,4.562379000524733,154.3622042383516
ERCOT,0.25,0.25,10,10,3.578941093543446,2.6172270394716515,4.468486412295689,137.5404874485207
ERCOT,0.25,0.5,10,10,4.010714047146841,3.9078751415470894,5.699356489692786,130.79292654729332
ERCOT,0.5,0.0,10,10,4.079556031704317,2.0808663143932087,4.614159009944984,154.03198970885745
ERCOT,0.5,0.25,10,10,4.336556228933971,3.072038825153342,5.342645721516308,135.81610959455762
ERCOT,0.5,0.5,10,10,5.437212024101922,4.758568880557914,7.310026496238947,127.67770983305307
ERCOT,0.0,0.0,11,10,4.174203338580034,1.042001725790664,4.315386966746601,172.6435746396109
ERCOT,0.0,0.25,11,10,4.757966199763276,1.358366174434622,4.975010442231349,167.0906697861978
ERCOT,0.0,0.5,11,10,5.4873060809680085,1.3048791410907636,5.660989884825724,163.54326624324358
ERCOT,0.25,0.0,11,10,4.059417267046527,2.1231069530758373,4.606523787972397,154.09448710928316
ERCOT,0.25,0.25,11,10,3.5309906006245355,2.758938236985541,4.515073613375111,137.17846882383895
ERCOT,0.25,0.5,11,10,3.907624343607205,4.09529531883198,5.774489536319635,130.25885490387543
ERCOT,0.5,0.0,11,10,4.084291316043472,2.1468133508118896,4.647030801178416,153.77525301052054
ERCOT,0.5,0.25,11,10,4.301638540365925,3.2425871416436007,5.408666069339609,135.387492264309
ERCOT,0.5,0.5,11,10,5.378192125691142,4.981092992642012,7.402122657943237,127.04041468567195
ERCOT,0.0,0.0,12,10,4.171159494816234,1.0836118228467326,4.322273708177421,172.51739184567205
ERCOT,0.0,0.25,12,10,4.779672868554707,1.4135269992599193,5.01108347066069,166.92628672644975
ERCOT,0.0,0.5,12,10,5.4741169859782115,1.3683521171412214,5.665097982444814,163.37540130226353
ERCOT,0.25,0.0,12,10,4.059210180605877,2.1828227000447518,4.632527977506105,153.8573025671191
ERCOT,0.25,0.25,12,10,3.5034844333410726,2.883751829752345,4.57103536201456,136.83621186552293
ERCOT,0.25,0.5,12,10,3.830075449828602,4.246044669950731,5.8335304433715995,129.77039194290137
ERCOT,0.5,0.0,12,10,4.085704196860251,2.2081205845756173,4.675973138679175,153.53503342895422
ERCOT,0.5,0.25,12,10,4.285683012743626,3.43164141897093,5.506602714524879,134.96156475258186
ERCOT,0.5,0.5,12,10,5.320663065730443,5.162664643439806,7.473035114535613,126.45787345348442
ERCOT,0.0,0.0,13,10,4.168514442699882,1.1302550994269318,4.330903099896384,172.39273502117328
ERCOT,0.0,0.25,13,10,4.792772375049957,1.4736246818480558,5.040294821220429,166.76479098010907
ERCOT,0.0,0.5,13,10,5.4644835836476275,1.4278720894426615,5.672188555902061,163.21546817922234
ERCOT,0.25,0.0,13,10,4.059087136210377,2.2327854925358355,4.655348339197341,153.63967889675234
ERCOT,0.25,0.25,13,10,3.4782456057761846,3.0177061216121936,4.637073475036463,136.49878458616374
ERCOT,0.25,0.5,13,10,3.755226732839097,4.386769034847063,5.889757057484248,129.30809443793373
ERCOT,0.5,0.0,13,10,4.094146225815607,2.2610969469759623,4.7076594110502175,153.31189136620088
ERCOT,0.5,0.25,13,10,4.277738831416796,3.600292815546506,5.605559143749946,134.5528981960177
ERCOT,0.5,0.5,13,10,5.259614674943602,5.287824941840282,7.512436469571406,125.93673908182244
ERCOT,0.0,0.0,14,10,4.16554025696037,1.1854196964773462,4.341632981628309,172.26685334045786
ERCOT,0.0,0.25,14,10,4.8097960990995885,1.517721312344066,5.068910393963798,166.61879642577262
ERCOT,0.0,0.5,14,10,5.458787783591461,1.4780248293427902,5.68034820991705,163.06666128103927
ERCOT,0.25,0.0,14,10,4.047112581091666,2.2900667919923743,4.669970375491948,153.42746418654804
ERCOT,0.25,0.25,14,10,3.4511433839744097,3.1581546527588733,4.712380491332644,136.16326802657167
ERCOT,0.25,0.5,14,10,3.689929997810157,4.521298825831667,5.948256075927806,128.86775944827716
ERCOT,0.5,0.0,14,10,4.090843877426601,2.32304361085534,4.734665560680931,153.0922529671334
ERCOT,0.5,0.25,14,10,4.273890400388745,3.7395465919784883,5.693038481022222,134.17173439063626
ERCOT,0.5,0.5,14,10,5.179446538930142,5.4209802555084305,7.548431917186312,125.43344416816143
ERCOT,0.0,0.0,15,10,4.168919171809938,1.236172548319893,4.358243096985912,172.14446356197902
ERCOT,0.0,0.25,15,10,4.828561812115866,1.5539342241526892,5.097578439027149,166.48246476097773
ERCOT,0.0,0.5,15,10,5.4597387624223535,1.5305312798907853,5.694606514031732,162.92080698716657
ERCOT,0.25,0.0,15,10,4.038193047660457,2.3422234844828655,4.686410428061912,153.2251212227554
ERCOT,0.25,0.25,15,10,3.4444952188540894,3.2900009190180226,4.798211330579175,135.83991772763355
ERCOT,0.25,0.5,15,10,3.6327831111518805,4.6281022050300376,5.992860797627868,128.46155760244278
ERCOT,0.5,0.0,15,10,4.0853216649118655,2.375493668257957,4.755939074267582,152.88702864743487
ERCOT,0.5,0.25,15,10,4.264499369107551,3.854791415023577,5.7631443886354985,133.81682186999046
ERCOT,0.5,0.5,15,10,5.117719718224803,5.5239394812250575,7.577941839938025,124.97132934728347
ERCOT,0.0,0.0,16,10,4.165984219626973,1.2841896361530247,4.3685317236206656,172.02609519547673
ERCOT,0.0,0.25,16,10,4.8420995652356105,1.589343291290533,5.121111118764903,166.35135968426937
ERCOT,0.0,0.5,16,10,5.471537495508655,1.5890273605314218,5.719492010810026,162.77793750865098
ERCOT,0.25,0.0,16,10,4.031664572615532,2.38492611202558,4.700928791909037,153.03714069199518
ERCOT,0.25,0.25,16,10,3.4319120695307617,3.427342103247865,4.884925437205605,135.51554478649916
ERCOT,0.25,0.5,16,10,3.5841799953858953,4.753599045611359,6.0568240432060705,128.0557468120288
ERCOT,0.5,0.0,16,10,4.081741340456819,2.427230845105293,4.7792620996888555,152.68988907196228
ERCOT,0.5,0.25,16,10,4.253340452047739,3.960013322394966,5.82681526925974,133.47815680529044
ERCOT,0.5,0.5,16,10,5.067256597805255,5.639396718681904,7.625826676024706,124.51699322497937
ERCOT,0.0,0.0,17,10,4.164562515247558,1.328669878354471,4.380127599972262,171.9129876530146
ERCOT,0.0,0.25,17,10,4.853266108216571,1.621538918705597,5.141436105085186,166.22677392745845
ERCOT,0.0,0.5,17,10,5.486254225767712,1.6525009598723217,5.750157525674053,162.63351224978132
ERCOT,0.25,0.0,17,10,4.025925369308355,2.43263014762836,4.720006307307358,152.8517808744864
ERCOT,0.25,0.25,17,10,3.4107779987853997,3.5462148752438876,4.957451049089428,135.20835239575285
ERCOT,0.25,0.5,17,10,3.5422649349698196,4.848870901293774,6.104241875430081,127.68366419862669
ERCOT,0.5,0.0,17,10,4.076471966887512,2.46584875729565,4.795220665635848,152.50883241979324
ERCOT,0.5,0.25,17,10,4.243504257394542,4.06317689742996,5.8908850116038165,133.14921845936433
ERCOT,0.5,0.5,17,10,5.025681976136935,5.734065724863645,7.666688463174717,124.09248436785039
ERCOT,0.0,0.0,18,10,4.165324087621355,1.3695870690993495,4.393201216523793,171.8036932434411
ERCOT,0.0,0.25,18,10,4.865858426618227,1.6538300172065403,5.16357183330294,166.10582237350292
ERCOT,0.0,0.5,18,10,5.497783045163017,1.7142287388522426,5.7784317366298374,162.4913469678101
ERCOT,0.25,0.0,18,10,4.022875207675744,2.475319690904377,4.739674359036991,152.6755697194298
ERCOT,0.25,0.25,18,10,3.373272262678263,3.657440351544709,5.014749245635683,134.91332196703482
ERCOT,0.25,0.5,18,10,3.492545220856655,4.9490402020634034,6.153682841501978,127.31994197231364
ERCOT,0.5,0.0,18,10,4.074874479668112,2.5077866486344256,4.815836942302838,152.33166005475047
ERCOT,0.5,0.25,18,10,4.218762913728429,4.166098643974113,5.946577096815683,132.82897101463212
ERCOT,0.5,0.5,18,10,4.971433986329074,5.830571657484586,7.702815653140769,123.68118134836814
ERCOT,0.0,0.0,19,10,4.168841845383516,1.4134248109450072,4.410276374923817,171.69468699915222
ERCOT,0.0,0.25,19,10,4.878836087111001,1.6826883091194424,5.18530211361803,165.99086347315918
ERCOT,0.0,0.5,19,10,5.503731659731178,1.7681325522636866,5.799843961203501,162.35550143227317
ERCOT,0.25,0.0,19,10,4.012312459400979,2.527717781199754,4.758276190848297,152.4968963517397
ERCOT,0.25,0.25,19,10,3.339113648849395,3.760280973294884,5.0692547844919735,134.62957193105993
ERCOT,0.25,0.5,19,10,3.442633611946312,5.041765326168039,6.199900054895405,126.9720706229778
ERCOT,0.5,0.0,19,10,4.066774339704858,2.5552337337748514,4.834175168706274,152.1553915394184
ERCOT,0.5,0.25,19,10,4.203123671710912,4.270598247014042,6.010259292979789,132.51395323353313
ERCOT,0.5,0.5,19,10,4.916110244602588,5.912496578755063,7.728600303620628,123.29528584278866
ERCOT,0.0,0.0,20,10,4.173139058070439,1.450138985276841,4.426246876523828,171.5921809227103
ERCOT,0.0,0.25,20,10,4.890586013366215,1.717362205170321,5.207562417922527,165.87505069439698
ERCOT,0.0,0.5,20,10,5.512245708505143,1.814353521321364,5.822013176559515,162.22698210585165
