region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.0,0.25,-1,11,4.614397456605327,1.2956730732597512,4.818129339664823,167.55481640705406
ERCOT,0.0,0.5,-1,11,5.431941951576663,1.2834455252883097,5.602064084331607,164.15960368541454
ERCOT,0.25,0.0,-1,11,3.8683966403522625,1.9361947293546264,4.364372691896102,154.29477024515347
ERCOT,0.25,0.25,-1,11,3.4577473383212203,2.663063242323754,4.398751152460228,137.3519668547828
ERCOT,0.25,0.5,-1,11,3.866984886053579,3.7444221448789126,5.502620957759812,130.60138638720375
ERCOT,0.5,0.0,-1,11,3.9149007034022696,1.9649358008833087,4.4283821567199775,153.8916436521542
ERCOT,0.5,0.25,-1,11,4.23403482843097,3.1340413676581655,5.296931394928754,135.51563261238488
ERCOT,0.5,0.5,-1,11,5.3688516153794925,4.702475813812985,7.217666181912643,127.22284368008239
ERCOT,0.0,0.0,-1,4,2.957511579666337,0.7992982414790089,3.0668663797380935,171.1274609379235
ERCOT,0.0,0.25,-1,4,1.4318260697106877,1.7632890290709444,2.2878884390486958,163.98958750814117
ERCOT,0.0,0.5,-1,4,1.247045370846013,1.2938019935071616,1.895300023774895,159.49445978918183
ERCOT,0.25,0.0,-1,4,2.9537277149202734,2.2483227746927623,3.7421205625778944,153.51997124469736
ERCOT,0.25,0.25,-1,4,2.1397780240925046,2.621737202493124,3.405884425076375,135.60601612161656
ERCOT,0.25,0.5,-1,4,2.900698970727311,3.5951969863334843,4.6944263311485885,128.6589819832613
ERCOT,0.5,0.0,-1,4,3.0301685083046883,2.343450088251045,3.8738099592153215,153.01978861047147
ERCOT,0.5,0.25,-1,4,2.513603278546286,3.36008201766217,4.224318305600285,133.56731284643658
ERCOT,0.5,0.5,-1,4,3.1618142243228218,4.51497291961878,5.6777826437240195,125.58875283895956
ERCOT,0.0,0.0,-1,8,2.8879016530181465,0.9121524776509169,3.033949626639471,171.262924280972
ERCOT,0.0,0.25,-1,8,3.1219573567823056,1.3997451071023033,3.458962350391454,165.32358190142168
ERCOT,0.0,0.5,-1,8,3.7855395254477795,1.2399370102155165,4.018540230755203,161.48727169719325
ERCOT,0.25,0.0,-1,8,2.693464808409413,2.1874239998185514,3.500154068318061,152.98235735347887
ERCOT,0.25,0.25,-1,8,2.224731427499318,2.6294793164068953,3.4791460182093568,136.0295905059482
ERCOT,0.25,0.5,-1,8,3.461256846216401,3.6983953926055397,5.146405963079914,129.57037059066008
ERCOT,0.5,0.0,-1,8,2.655314670397634,2.2528809448810474,3.5177911177816075,152.6116561163938
ERCOT,0.5,0.25,-1,8,2.6863981508530013,3.1172581754077213,4.154143818485477,134.0192387712685
ERCOT,0.5,0.5,-1,8,4.650667603325361,4.456456415699367,6.516223727850824,126.16736606336734
ERCOT,0.0,0.0,-1,9,4.256453820110919,0.8963239451566931,4.353389721282313,172.41964848970272
ERCOT,0.0,0.25,-1,9,4.469198809899476,1.3122773365462026,4.68947323385102,166.55206789006456
ERCOT,0.0,0.5,-1,9,5.002349013875051,1.2148960112844174,5.172342732129634,162.7839009156034
